Incident Date,Incident Time,Flight ID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State ,,
8-Jan-15,0435,UAL765,B752,2000,LAX,Green,No,Los Angeles,California,,
8-Jan-15,0530,N3269K,GC1,3500,BUR,Green,No,Burbank,California,,
8-Jan-15,0615,AAL335,MD82,6600,TUS,Green,No,Tucson,Arizona,,
8-Jan-15,0705,N150AM,Bell 407,501,MHV,Green,No,Mojave,California,,
8-Jan-15,0945,FDX5084,MD11,11000,PAO,Green,No,Palo Alto,California,,
8-Jan-15,1115,FDX1488,B752 (BOEING - 757-,11000,BHM,Green,No,Birmingham,Alabama,,
8-Jan-15,2311,AMF6904,BE99,3000,SJU,Green,No,San Juan,Puerto Rico,,
9-Jan-15,0025,RCH982,C17,6000,PHI,Green,No,Philadelphia,Pennsylvania,,
9-Jan-15,0042,ASQ4959,CRJ7,10000,DVK,White,No,Danville,Kentucky,,
9-Jan-15,0050,RPA3874,DH8,7000,EWR                                                                                                                                                                        ,Green,No,Newark,New Jersey,,
9-Jan-15,0240,N6693U,MO20,6500,DAG,Green,No,Victorville,California,,
9-Jan-15,0248,ASA322,B737,1100,SJC,Green,No,San Jose,California,,
9-Jan-15,0250,VVPR517,P3,5500,HGR,Green,No,Hagerstown,Maryland,,
9-Jan-15,0515,SWA3580,B737,14000,WVI,Green,No,Watsonville,California,,
9-Jan-15,0534,SWA455,B737,14000,WVI,Green,No,Watsonville,California,,
9-Jan-15,0705,NVT562,PC12,4500,PHX,Green,No,Phoenix,Arizona,,
9-Jan-15,2310,PDT4766,DH8A,6000,CLT,Green,No,Charlotte,North Carolina,,
9-Jan-15,2330,SWA431,B737,10000,BNA,Green,No,Nashville,Tennessee,,
10-Jan-15,0115,UCA4838,DH8B,4000,IAD,Green,No,Washington,District of Columbia,,
10-Jan-15,0120,SWA432,B737,5000,PDX,White,No,Portland,Oregon,,
10-Jan-15,0134,BYF44,HELO,1200,SFO,Green,No,San Francisco,California,,
10-Jan-15,0215,ASQ2555,CRJ2,3000,BMT,Green,No,Beaumont,Texas,,
10-Jan-15,0246,N277MD,BE55 (BEECH - 55 Ba,3000,ECA,Green,No,Stockton,California,,
10-Jan-15,0325,JZA127,DH8C (DE HAVILLAND,900,PDX,Green,No,Portland,Oregon,,
10-Jan-15,0624,ASA484,B739,5000,SAN,Green,No,San Diego,California,,
10-Jan-15,0644,HAL197,B717,3000,HNL,Green,No,Honolulu,Hawaii,,
10-Jan-15,2355,FFT1060,A319,7000,ORD,Green,No,Chicago,Illinois,,
11-Jan-15,0038,AAL1613,B738,1500,MIA,Green,No,Miami,Florida,,
11-Jan-15,0118,AR3,B206,300,OPF,Green,No,Miami,Florida,,
11-Jan-15,0125,JBU574,A320,10000,TTN,Green,No,Trenton,New Jersey,,
11-Jan-15,0157,DAL2002,MD80,6000,OPF,Green,No,Miami,Florida,,
11-Jan-15,0648,JBU801,A320 (AIRBUS - A-32,11000,SLC,Green,No,Salt Lake City,Utah,,
11-Jan-15,2348,FLG3914,CRJ9,3000,BNA,Green,No,Nashville,Tennessee,,
11-Jan-15,2355,ASQ5777,CRJ2,13000,PHF,Green,No,Newport News ,Virginia,,
12-Jan-15,0030,FLG3950,CRJ9,2000,EWR                                                                                                                                                                        ,Green,No,Newark,New Jersey,,
12-Jan-15,0035,N525SM,C25A,4000,OJC,Green,No,Olathe,Kansas,,
12-Jan-15,0148,N21ZE,SR20,1900,TOA,Green,No,Torrance,California,,
12-Jan-15,0155,BB18,BE23,2000,MWH,Green,No,Moses Lake,Washington,,
12-Jan-15,0216,SKW298Z,CRJ7 (CANADAIR - Ch,5000,TUS,Green,No,Tucson,Arizona,,
12-Jan-15,0245,DAL2230,B739 (BOEING - 737-,9000,LAX,Green,No,Los Angeles,California,,
12-Jan-15,0539,QXE472,DH8D (DE HAVILLAND,8000,STS,Green,No,Santa Rosa,California,,
12-Jan-15,2304,UAL1631,B737 (BOEING - 737-,2000,EWR                                                                                                                                                                        ,Green,No,Newark,New Jersey,,
13-Jan-15,0033,FLNT820,C208,1200,IAH,Green,No,Houston,Texas,,
13-Jan-15,0215,LFT57,B430,1800,SAT,Green,No,San Antonio,Texas,,
13-Jan-15,0218,CFS693,AT43,1800,ONT,Green,No,Ontario,California,,
13-Jan-15,0227,SWA186,B737 (BOEING - 737-,11000,JVL,Green,No,Janesville,Wisconsin,,
13-Jan-15,0312,KAL223,B744,3500,ORD,Green,No,Chicago,Illinois,,
13-Jan-15,0409,N9560V,C172 (AVIONES COLOM,3000,LHM,Green,No,Lincoln,California,,
13-Jan-15,0420,UAL156,B739 (BOEING - 737-,3000,SFO,Green,No,San Francisco,California,,
13-Jan-15,0610,AAL266,B757,10000,SMO,Green,No,Santa Monica,California,,
13-Jan-15,2335,TSU9912,CLVT,2000,BQN,Green,No,Aguadilla,Puerto Rico,,
13-Jan-15,2349,AMF7120,SW4/G,2000,BQN,Green,No,Aguadilla,Puerto Rico,,
14-Jan-15,0102,AWI3758,CRJ2,3500,MKE,Green,No,Milwaukee ,Wisconsin,,
14-Jan-15,0140,FDX798,DC10,10000,MSP,Green,No,Minneapolis,Minnesota,,
14-Jan-15,0319,CFS683,AT43 (AERITALIA - A,1800,ONT,Green,No,Ontario,California,,
14-Jan-15,2335,C2302,CN35 (AIRTECH (2) -,900,OPF,Green,No,Miami,Florida,,
15-Jan-15,0206,SWA167,B7373,4000,LAS,Green,No,Las Vegas,Nevada,,
15-Jan-15,0220,OMAHA97,PC12 (PILATUS - Eag,11500,PRB,Green,No,Paso Robles,California,,
15-Jan-15,0330,WWW667,B737 (BOEING - 737-,12000,LAS,Green,No,Las Vegas,Nevada,,
15-Jan-15,0342,NKS680,A320 (AIRBUS - A-32,6000,FLL,Green,No,Fort Lauderdale,Florida,,
15-Jan-15,0344,SWA188,B737 (BOEING - 737-,4000,PHX,Green,No,Phoenix,Arizona,,
15-Jan-15,0548,N376RC,BE20 (BEECH - 1300,5000,AFW,Green,No,Fort Worth,Texas,,
15-Jan-15,0652,DAL2208,B763 (BOEING - 767-,15000,SAN,Green,No,San Diego,California,,
15-Jan-15,1036,DEVIL42,B52 (BOEING - B-52,2000,GUM,Green,No,Guam,Guam,,
16-Jan-15,0001,TROOPER8,B06 (BELL - 406),2100,UNKN,Green,No,UNKN,UNKN,,
16-Jan-15,0010,RPA4464,E170 (EMBRAER - 170,4000,ADW,Green,No,Camp Springs,Maryland,,
16-Jan-15,0028,AAL2340,B738 (BOEING - 737-,17000,AML,Green,No,Herndon,Virginia,,
16-Jan-15,0137,RPA4250,E170/L,7000,JAX,Green,No,Jacksonville,Florida,,
16-Jan-15,0138,ASA650,B739 (BOEING - 737-,9200,PHX,Green,No,Phoenix,Arizona,,
16-Jan-15,0138,N419CF,B407 (BELL - 407),1200,FTW,Green,No,Fort Worth,Texas,,
16-Jan-15,0307,SIERRA55,AS50 (AEROSPATIALE,9500,ABQ,Green-Blue,No,Albuquerque,New Mexico,,
16-Jan-15,0310,JBU2067,E190 (EMBRAER - 190,12000,93NY,Green,No,Brooklyn,New York,,
16-Jan-15,0350,SKW328C,CRJ7,3500,TUS,Green,No,Tucson,Arizona,,
16-Jan-15,0420,SWA4571,B737 (BOEING - 737-,7500,SJC,Green,No,San Jose,California,,
16-Jan-15,0453,N2096W,H269 (SCHWEIZER - 2,4800,LMT,Red,No,Klamath Falls,Oregon,,
16-Jan-15,0515,ACA775,B737,3500,LAX,Green,No,Los Angeles,California,,
16-Jan-15,1038,UAL912,B752,2000,6NY5,White,No,Jamaica Queens,New York,,
16-Jan-15,2310,AWI3732,CRJ2 (CANADAIR - Ch,4000,CLT,Green,No,Charlotte,North Carolina,,
17-Jan-15,0020,STAT10,HELO,1300,BWI,Green,No,Baltimore,Maryland,,
17-Jan-15,0030,ASQ4442,E135 (EMBRAER - EMB,8500,IAH,Green,No,Houston,Texas,,
17-Jan-15,0108,N4165E,P28A (AICSA - Arche,2500,HWO,Green,No,Hollywood,Florida,,
17-Jan-15,0121,JIA5121,CRJ7,5000,CLT,Green,No,Charlotte,North Carolina,,
17-Jan-15,0122,AAY438,MD83 (BOEING - MD-8,3000,XNA,Green,No,Fayetteville/Springdale,Arkansas,,
17-Jan-15,0128,ASQ4615,E145,9000,HOU,Green,No,Houston,Texas,,
17-Jan-15,0210,DAL1931,MD90,1900,SRQ,Green,No,Sarasota/Bradenton,Florida,,
17-Jan-15,0235,QXE555,DH8D,UNKN,SAN,Green,No,San Diego,California,,
17-Jan-15,0245,N390LG,AS-350B3E,1000,DEN,Green,No,Denver,Colorado,,
17-Jan-15,0248,ENY3678,CRJ7,9200,DFW,Green,No,Dallas-Fort Worth,Texas,,
17-Jan-15,0317,ASQ4344,E135 (EMBRAER - EMB,3800,IAH,Green,No,Houston,Texas,,
