2021 Laser Incidents,,,,,,,,,
Incident Date,Incident Time,FlightID,Aircraft,Altitude,Airport,Laser Color,Injury,City,State
6-Jan-21,0031,SLH816,C560,7000,R90,Blue,No,Bellevue,Nebraska
6-Jan-21,0045,MRA695,C208,2500,CAE,Green,No,Columbia,South Carolina
6-Jan-21,0115,UPS9507,A306,34000,ZJX,Blue,No,Hillard,Florida
6-Jan-21,0200,N739YZ,C172,800,EMT,Green,No,El Monte,California
6-Jan-21,0200,HAL24,A21N,6000,NCT,Green,No,Mather,California
6-Jan-21,0210,SLAM80,C17,3500,RIV,Green,No,Riverside,California
6-Jan-21,0311,FIRE1,HELO,1500,FUL,Green,No,Fullerton,California
6-Jan-21,0345,VTE989,GLEX,11000,L30,Green,No,Las Vegas,Nevada
6-Jan-21,0350,N501ER,C172,2500,I90,Green,No,Houston,Texas
6-Jan-21,0408,GTI73,B747,1500,MIA,Green,No,Miami,Florida
6-Jan-21,0438,UCA4813,E45X,16000,ZFW,Green,No,Fort Worth,Texas
6-Jan-21,0449,N22W,C208,5000,P80,Green,No,Portland,Oregon
6-Jan-21,0540,SWA1879,B738,6000,HCF,Green,No,Honolulu,Hawaii
6-Jan-21,0543,N418DL,LJ31,3000,PIT,Green,No,Pittsburgh,Pennsylvania
6-Jan-21,0546,DAL664,B752,6000,P50,Green,No,Phoenix,Arizona
6-Jan-21,0548,FDX1837,B763,28000,ZLA,Green,No,Palmsdale,California
6-Jan-21,0551,JLG304,C25B,7500,HSV,Green,No,Huntsville,Alabama
6-Jan-21,0555,KAL51,B77L,800,ZMA,Green,No,Melbourne,Florida
6-Jan-21,0600,GTI36,B744,800,ZMA,Green,No,Melbourne,Florida
6-Jan-21,0602,JLG97,C25B,2600,CVG,Green,No,Covington,Kentucky
6-Jan-21,0607,NKS1779,A320,1500,BWI,Green,No,Baltimore,Maryland
6-Jan-21,1230,UPS948,A306,12000,NCT,Green,No,Mather,California
6-Jan-21,2307,UPS2292,B767,8000,CAE,Green,No,Columbia,South Carolina
6-Jan-21,2357,LTA54,DA40,3000,IND,Green,No,Indianapolis,Indiana
7-Jan-21,0108,N6727X,C310,6500,ZHU,Red,No,Houston,Texas
7-Jan-21,0135,N55BA,H25B,7000,SLC,Green,No,Salt Lake City,Utah
7-Jan-21,0135,FDX379,DC10,9800,SAT,Green,No,San Antonio,Texas
7-Jan-21,0238,N48340,C152,1500,SCT,Green,No,San Diego,California
7-Jan-21,0245,N797GM,PC12,4000,NCT,Green,No,Mather,California
7-Jan-21,0249,EDV4638,CRJ9,11000,GPT,Blue,No,Gulfport,Mississippi
7-Jan-21,0300,SKW4672,E75L,14500,CPR,Green,No,Casper,Wyoming
7-Jan-21,0346,N7189L,AA5,3000,NCT,Green,No,Mather,California
7-Jan-21,0420,NEWS1,B06,1200,SAT,Green,No,San Antonio,Texas
7-Jan-21,0450,CHP58,HELO,800,FUL,Green,No,Fullerton,California
7-Jan-21,0453,NDU792,PA44,2500,IWA,Green,No,Phoenix,Arizona
7-Jan-21,0540,UPS9324,B757,6000,SAT,Red,No,San Antonio,Texas
7-Jan-21,1108,FDX1402,MD11,5000,N90,Green,No,Westbury,New York
7-Jan-21,1111,SNC1256,SH36,9000,CHS,Blue,No,Charleston ,South Carolina
7-Jan-21,2330,PDT6209,E145,4000,CLT,Green,No,Charlotte,North Carolina
7-Jan-21,2340,GJS4432,CRJ7,25000,ZDC,Green,No,Leesburg,Virginia
8-Jan-21,0000,DAL2293,B712,12000,ZDC,Green,No,Leesburg,Virginia
8-Jan-21,0031,AAL1556,B738,4000,MIA,Blue,No,Miami,Florida
8-Jan-21,0102,PEG16,GLF4,8000,D01,Blue,No,Denver,Colorado
8-Jan-21,0105,SKW5954,CRJ2,8000,D01,Blue,No,Denver,Colorado
8-Jan-21,0114,CFS7662,C208,2700,PDX,Green,No,Portland,Oregon
8-Jan-21,0115,CFS7692,C208,5500,P80,Green,No,Portland,Oregon
8-Jan-21,0130,SKW4282,CRJ2,11000,ZLA,Green,No,Palmsdale,California
8-Jan-21,0152,FDX917,MD11,6000,SCT,Green,No,San Diego,California
8-Jan-21,0200,SJE9,H25B,21000,ZLA,Green,No,Palmsdale,California
8-Jan-21,0223,N611EA,C172,150,OPF,Green,No,Miami,Florida
8-Jan-21,0226,RCH108,C17,8000,BGR,Green,No,Bangor,Maine
8-Jan-21,0309,N91934,C172,4500,NCT,Green,No,Mather,California
8-Jan-21,0355,SWA4356,B737,30000,ZLA,Green,No,Palmsdale,California
8-Jan-21,0440,QXE2170,E75L,3000,SCT,Green,No,San Diego,California
8-Jan-21,0440,QXE2171,E75L,3000,SCT,Green,No,San Diego,California
8-Jan-21,0601,N513WF,C172,1500,BFI,Green,No,Seattle,Washington
8-Jan-21,2245,WIG7109,C208,900,SJU,Green,No,San Juan,Puerto Rico
8-Jan-21,2314,N21732,C172,2500,ZSU,Green,No,San Juan,Puerto Rico
8-Jan-21,2323,UAL265,B739,1000,MIA,Green,No,Miami,Florida
8-Jan-21,2324,N515QS,C68A,1000,MIA,Green,No,Miami,Florida
8-Jan-21,2325,KII842,B733,1000,MIA,Green,No,Miami,Florida
9-Jan-21,0010,N1596R,AA5,7000,BJC,Green,No,Denver,Colorado
9-Jan-21,0016,SWA2931,B737,11000,ZAU,Green,No,Aurora,Illinois
9-Jan-21,0057,LN35HD,BE9L,6000,PUB,Green And Yellow,No,Pueblo,Colorado
9-Jan-21,0059,ENY3633,E170,12500,ZFW,Green,No,Fort Worth,Texas
9-Jan-21,0101,ENY3411,E170,12500,ZFW,Green,No,Fort Worth,Texas
9-Jan-21,0104,ENY3984,E170,16000,D10,Green,No,Dallas-Fort Worth,Texas
9-Jan-21,0105,ENY3433,E170,13000,ZFW,Green,No,Fort Worth,Texas
9-Jan-21,0125,PDT6041,E145,1000,HTS,Green,No,Huntington,West Virginia
9-Jan-21,0228,ABX903,B762,13000,ZSE,Green,No,Auburn,Washington
9-Jan-21,0240,TOGO99,C17,10000,SCT,Green,No,San Diego,California
9-Jan-21,0247,EDV4769,CRJ2,11000,ZMP,Green,No,Dodge Center,Minnesota
9-Jan-21,0255,AJT886,B763,10000,SCT,Green,No,San Diego,California
9-Jan-21,0331,PDT6014,E145,14000,ZBW,Green,No,Nashua,New Hampshire
9-Jan-21,0456,MEDFLT2,HELO,6900,ABQ,Green,No,Albuquerque,New Mexico
9-Jan-21,0554,MEDFLT1,HELO,5900,ABQ,Green,No,Albuquerque,New Mexico
9-Jan-21,1121,FDX2597,B763,14000,NCT,Green,No,Mather,California
9-Jan-21,2308,N123QU,G150,1000,ZSU,Green,No,San Juan,Puerto Rico
9-Jan-21,2322,AAL695,A321,1700,SJU,Green,No,San Juan,Puerto Rico
9-Jan-21,2350,AAL533,B38M,800,MIA,Green,No,Miami,Florida
10-Jan-21,0009,FFT1423,A20N,1000,MIA,Green,No,Miami,Florida
10-Jan-21,0010,RPA4501,E75S,1000,MIA,Green,No,Miami,Florida
10-Jan-21,0115,N459CB,SR22,4000,S46,Green,No,Burien,Washington
10-Jan-21,0147,ASA217,B739,7000,SCT,Green,No,San Diego,California
10-Jan-21,0153,N9135U,AA1,3000,SMX,Green,No,Santa Maria,California
10-Jan-21,0232,DAL1524,B738,24000,ZHU,Green,No,Houston,Texas
10-Jan-21,0300,N74786,M20P,4000,SAT,Green,No,San Antonio,Texas
10-Jan-21,0303,N815MC,C525,37000,ZAB,Green,No,Albuquerque,New Mexico
10-Jan-21,0344,N734KU,C172,5500,P80,Green,No,Portland,Oregon
10-Jan-21,0405,SKW4795,E75L,3000,ZSE,Green,No,Auburn,Washington
10-Jan-21,0534,HAL20,A21N,6300descendingto5000,SUU,Green,No,Fairfield,California
10-Jan-21,0611,FDX97,MD11,12000,IND,Green,No,Indianapolis,Indiana
10-Jan-21,0745,ASA706,B739,7500,SCT,Green,No,San Diego,California
10-Jan-21,0809,GTI325,B762,12000,PCT,Green,No,Warrenton,Virginia
10-Jan-21,1830,N839N,E55P,5000,ZTL,Green,No,Hampton,Georgia
10-Jan-21,1945,N101NY,GLF4,2000,FRG,Green,No,Farmingdale,New York
10-Jan-21,2335,AWI3744,CRJ2,14000,PCT,Green,No,Warrenton,Virginia
10-Jan-21,2348,N737AA,C172,2500,CRW,Blue,No,Charleston,West Virginia
10-Jan-21,2356,AWI3744,CRJ2,14000,PCT,Green,No,Warrenton,Virginia
11-Jan-21,0002,N3711X,LARK,3000,GSO,Green,No,Greensboro,North Carolina
11-Jan-21,0013,JIA5044,CRJ9,5000,AVL,Green And Red,No,Asheville,North Carolina
11-Jan-21,0014,PDT6016,E145,4000,PHL,Green,No,Philadelphia,Pennsylvania
11-Jan-21,0035,AAY1022,A320,5000,BNA,Green,No,Nashville,Tennessee
11-Jan-21,0102,ASA426,A21N,31000,ZNY,Green,No,Ronkonkoma,New York
11-Jan-21,0125,SKW4472,CRJ9,23500,ZMP,Green,No,Dodge Center,Minnesota
11-Jan-21,0140,EJA235,CL60,1000,SNA,Green,No,Santa Ana,California
11-Jan-21,0203,AAY1338,A320,2500,CVG,Green,No,Covington,Kentucky
11-Jan-21,0203,EDV4707,CRJ8,13000,ZTL,Green,No,Hampton,Georgia
11-Jan-21,0205,PD30,HELO,1800,ONT,Green,No,Ontario,California
11-Jan-21,0214,SWA2820,B738,12000,NCT,Red,No,Mather,California
11-Jan-21,0300,DAL995,B739,11000,SCT,Green,No,San Diego,California
11-Jan-21,0307,SKW3472,E75L,1000,SCT,White,Yes,San Diego,California
11-Jan-21,0345,SKW3100,CRJ7,8000,P50,Green,No,Phoenix,Arizona
11-Jan-21,0348,OXF4955,P28A,3000,U90,Green,No,Tucson,Arizona
11-Jan-21,0405,ASA450,B739,6500,RSW,Green,No,Fort Myers,Florida
11-Jan-21,0409,SWA425,B737,2600,LGB,Green,No,Long Beach,California
11-Jan-21,0410,KAWW90,B762,24000,ZLC,Green,No,Salt Lake City,Utah
11-Jan-21,0432,QXE2171,E75L,1000,SNA,Green,No,Santa Ana,California
11-Jan-21,0433,N169TW,SLG2,15000,TUL,Green,No,Tulsa,Oklahoma
11-Jan-21,0440,SKW5565,CRJ2,4100,FAT,Green,No,Fresno,California
11-Jan-21,0508,ASA514,A320,1000,SNA,Green,No,Santa Ana,California
11-Jan-21,0613,SKW3824,E75L,4600,ZSE,Blue,No,Auburn,Washington
11-Jan-21,0928,AIP5150,BE99,6000,BIL,Blue,No,Billings,Montana
12-Jan-21,0001,N6345D,AA5,2000,ORF,Green,No,Norfolk,Virginia
12-Jan-21,0018,TRAUMA1,HELO,1500,WOC,Green,No,Washington,District of Columbia
12-Jan-21,0042,N624AM,BK17,2200,AGC,Green,No,Pittsburgh,Pennsylvania
12-Jan-21,0120,FDY427,C208,7000,ZFW,Green,No,Fort Worth,Texas
12-Jan-21,0132,N98219,C172,3500,SCT,Green,No,San Diego,California
12-Jan-21,0154,N2384L,C172,4500,NCT,Green,No,Mather,California
12-Jan-21,0205,DAL2118,B767,13000,M98,Green,No,Minneapolis,Minnesota
12-Jan-21,0336,N387RM,EXP,11500,ZDV,Green,No,Longmont,Colorado
12-Jan-21,0351,ASA1228,B739,6500,D10,Green,No,Dallas-Fort Worth,Texas
12-Jan-21,0446,N469CP,SR22,12500,ZLA,Green,No,Palmsdale,California
12-Jan-21,0446,G113,HELO,2500,MFE,Green,No,Mc Allen,Texas
12-Jan-21,0535,QXE2143,E75L,5000,RNO,Blue,No,Reno,Nevada
12-Jan-21,0607,HAL397,B712,3000,HCF,Green,No,Honolulu,Hawaii
12-Jan-21,0712,N1264Q,C150,2500,BUR,Green,No,Burbank,California
12-Jan-21,0714,CKS421,B763,14000,ZID,Green,No,Indianapolis,Indiana
12-Jan-21,1051,UPS504,B763,11800,ZAU,Green,No,Aurora,Illinois
12-Jan-21,1222,ENY4115,E170,17500,ZKC,Blue,No,Olathe,Kansas
12-Jan-21,2348,RVJ100,BE40,600,PIT,Blue,No,Pittsburgh,Pennsylvania
13-Jan-21,0024,JIA5572,CRJ7,5000,CLT,Green,No,Charlotte,North Carolina
13-Jan-21,0026,SIOUX28,PA28,3000,ZMP,Green,No,Dodge Center,Minnesota
13-Jan-21,0029,JIA5497,CRJ9,4000,CLT,Green,No,Charlotte,North Carolina
13-Jan-21,0115,DAL2356,B738,7000,CVG,Green,No,Covington,Kentucky
13-Jan-21,0117,MAMBA3,T38,1800,HSV,Green,No,Huntsville,Alabama
13-Jan-21,0119,VJT842,GLEX,1000,MIA,Green,No,Miami,Florida
13-Jan-21,0159,N4777H,C152,3500,MSN,Green,No,Madison,Wisconsin
13-Jan-21,0220,N19YR,SR22,8000,ROA,Green,No,Roanoke,Virginia
13-Jan-21,0226,N734K,LJ75,7000,ICT,Green,No,Wichita,Kansas
13-Jan-21,0312,AAL1615,B738,17000,ZFW,Blue,No,Fort Worth,Texas
13-Jan-21,0415,N609FG,C172,2500,N90,Green,No,Westbury,New York
13-Jan-21,0419,N342MK,P28A,4500,RST,Green,No,Rochester,Minnesota
13-Jan-21,0419,UAL778,A319,8000,BOI,Green,No,Boise,Idaho
13-Jan-21,0521,UAL706,B752,1500,LAX,Green,No,Los Angeles,California
13-Jan-21,0522,N103MD,LNC2,3500,NCT,Green,No,Mather,California
13-Jan-21,0714,KFS158,LJ35,700,MIA,Green,No,Miami,Florida
13-Jan-21,1000,UPS572,B752,16000,ZAU,Green,No,Aurora,Illinois
13-Jan-21,1050,N60HX,FA50,6000,HCF,Green,No,Honolulu,Hawaii
13-Jan-21,1114,LBQ870,BE58,8000,ZTL,Green,No,Hampton,Georgia
13-Jan-21,1120,UPS894,B757,12500,ABQ,Green,No,Albuquerque,New Mexico
14-Jan-21,0059,UAL1521,B738,10000,CLE,Green,No,Cleveland,Ohio
14-Jan-21,0141,N623E,PC12,6000,MAF,Green,No,Midland,Texas
14-Jan-21,0158,SWA2602,B737,1100,P80,Green,No,Portland,Oregon
14-Jan-21,0218,N717SH,SR22,2600,T75,Green,No,St. Charles,Missouri
14-Jan-21,0221,CSJ915,C208,5000,CLE,Green,No,Cleveland,Ohio
14-Jan-21,0306,PRE72,GALX,11800,NCT,Green,No,Mather,California
14-Jan-21,0422,ENY4123,E170,15000,ZAU,Green,No,Aurora,Illinois
14-Jan-21,0428,PEAK61,2/F16,17000,ZDV,Green,No,Longmont,Colorado
14-Jan-21,0430,OXF5643,P28A,2700,FFZ,Green,No,Mesa,Arizona
14-Jan-21,0433,N9897F,C172,4000,SCT,Green,No,San Diego,California
14-Jan-21,0455,MDS654,SW4,8600,ZTL,Green,No,Hampton,Georgia
14-Jan-21,0457,SWA2323,B737,16000,ZTL,Green,No,Hampton,Georgia
14-Jan-21,0458,SWA4356,B738,4000,NCT,Green,No,Mather,California
14-Jan-21,0544,SKW3451,E75L,8000,P80,Green,No,Portland,Oregon
14-Jan-21,0551,UAL393,A320,9000,P80,Blue,No,Portland,Oregon
14-Jan-21,0553,SKW3117,CRJ7,3800,BIL,Green,No,Billings,Montana
14-Jan-21,0637,FDX1348,B752,4000,M03,Green,No,Memphis,Tennessee
14-Jan-21,0812,DAL1270,A321,8000,P50,Green,No,Phoenix,Arizona
14-Jan-21,2320,BEZ408,C208,700,SJU,Green,No,San Juan,Puerto Rico
14-Jan-21,2327,N672PS,GALX,7000,CHA,Green,No,Chattanooga,Tennessee
14-Jan-21,2330,LN416AE,HELO,1600,SDF,Green,No,Louisville,Kentucky
15-Jan-21,0042,R08475,CH47,4000,GRK,Green,No,Killeen,Texas
15-Jan-21,0116,LXJ346,E55P,11000,ZAB,Blue,No,Albuquerque,New Mexico
15-Jan-21,0120,LN30LP,C310,6000,ZID,Blue,No,Indianapolis,Indiana
15-Jan-21,0125,N942JS,C680,7100,CRP,Green,No,Corpus Christi,Texas
15-Jan-21,0139,QXE2094,E75L,10000,SCT,Green,No,San Diego,California
15-Jan-21,0139,SWA2820,B738,20000,ZLA,Green,No,Palmsdale,California
15-Jan-21,0144,CSQ964,SF34,1000,MIA,Green,No,Miami,Florida
15-Jan-21,0146,UPS2956,B763,8000,NCT,Green,No,Mather,California
15-Jan-21,0152,UCA4348,E45X,7600,I90,Green,No,Houston,Texas
15-Jan-21,0203,ASA295,B739,5000,P80,Green,No,Portland,Oregon
15-Jan-21,0205,UCA4813,E145,11000,SHV,Green,No,Shreveport,Louisiana
15-Jan-21,0307,AMF1829,B190,7000,SAT,Green,No,San Antonio,Texas
15-Jan-21,0309,QXE2469,E75L,10000,P50,Blue,No,Phoenix,Arizona
15-Jan-21,0312,RUDY33,V22,2200,NCT,Blue,No,Mather,California
15-Jan-21,0314,RPA4839,E75L,27000,ZID,Green,No,Indianapolis,Indiana
15-Jan-21,0321,N463JA,C560,3000,CRP,Green,No,Corpus Christi,Texas
15-Jan-21,0347,N8543E,P28A,1800,ABE,Green,No,Allentown,Pennsylvania
15-Jan-21,0358,HIVE83,C130,2000,LIT,Green,No,Little Rock,Arkansas
15-Jan-21,0400,N739UL,C172,1000,OAK,Green,No,Oakland,California
15-Jan-21,0402,SKW5051,CRJ2,650,PUB,Green,No,Pueblo,Colorado
15-Jan-21,0409,AJT5232,B763,37000,ZTL,White,No,Hampton,Georgia
15-Jan-21,0411,COPPER8,K35R,1700,YUM,Green,No,Yuma,Arizona
15-Jan-21,0414,SKW2967,CRJ7,2000,YUM,Green,No,Yuma,Arizona
15-Jan-21,0415,SWA425,B737,6500,SCT,Green,No,San Diego,California
